name,price,link
GDDR6 Gigabyte AORUS GeForce RTX 3060 ELITE 12G LHR Graphics Card RTX 3060 Card Computer Card 3060,$533,https://www.newegg.com/p/1FT-000A-003V3?Description=3060&cm_re=3060-_-9SIAXMKJ9G7850-_-Product
Gigabyte AORUS GeForce RTX 3060 ELITE 12G LHR Graphics Card 15000MHz 12GB 6pin+8pin GDDR6 RTX 3060,$533,https://www.newegg.com/p/1FT-000A-003W0?Description=3060&cm_re=3060-_-9SIAXMKJ9G8208-_-Product
GIGABYTE AORUS GeForce RTX™ 3060 ELITE 12G Support AMD Intel Desktop CPU NEW,$533,https://www.newegg.com/p/1FT-000A-003X9?Description=3060&cm_re=3060-_-9SIAXMKJ9G7953-_-Product
"GIGABYTE GeForce RTX 3060 Ti VISION OC 8G Graphics Card, WINDFORCE 3X Cooling System, 8GB 256-bit GDDR6, GV-N306TVISION OC-8GD Video Card",$535,https://www.newegg.com/gigabyte-gv-n306tvision-oc-8gd/p/N82E16814932410?Description=3060&cm_re=3060-_-14-932-410-_-Product
"MSI GeForce RTX 3060 GAMING X TRIO 12G  (LHR) Video Card,12GB 192-bit GDDR6 PCI Express 4.0 x16,1852MHz Core Frequency,1×HDMI Interface, 3×DisplayPort Interface",$536,https://www.newegg.com/msi-geforce-rtx-3060-rtx-3060-gaming-x-trio-12g/p/1FT-0009-00854?Description=3060&cm_re=3060-_-1FT-0009-00854-_-Product
"MSI GeForce RTX 3060 GAMING Z TRIO 12G (LHR) Video Card,12GB 192-bit GDDR6,PCI Express 4.0,1×HDMI Interface, 3×DisplayPort Interface",$536,https://www.newegg.com/msi-geforce-rtx-3060-rtx-3060-gaming-z-trio-12g-lhr/p/1FT-0009-00897?Description=3060&cm_re=3060-_-1FT-0009-00897-_-Product
MSI Gaming GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 Video Card RTX 3060 Gaming X Trio 12G,$538,https://www.newegg.com/msi-geforce-rtx-3060-rtx-3060-gaming-x-trio-12g/p/N82E16814137629?Description=3060&cm_re=3060-_-14-137-629-_-Product
MSI Geforce RTX 3060 Ventus 2X OC 12GB GDDR6 Video Graphic Card GPU,$539,https://www.newegg.com/msi-geforce-rtx-3060/p/1FT-0009-00980?Description=3060&cm_re=3060-_-9SIADFRHE29186-_-Product
GIGABYTE Vision GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 ATX Video Card GV-N3060VISION OC-12GD,$539,https://www.newegg.com/gigabyte-geforce-rtx-3060-gv-n3060vision-oc-12gd/p/N82E16814932482R?Description=3060&cm_re=3060-_-14-932-482R-_-Product
MSI Ventus GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 Video Card RTX 3060 Ventus 3X 12G OC,$542,https://www.newegg.com/msi-geforce-rtx-3060-rtx-3060-ventus-3x-12g-oc/p/1FT-0009-00AG7?Description=3060&cm_re=3060-_-1FT-0009-00AG7-_-Product
MSI GeForce RXT 3060 Ti Ventus 2X 8GB GDDR6 3060 Ti VENTUS 2X 8G OCV1 LHR Video Graphic Card GPU,$544,https://www.newegg.com/msi-rxt-3060-ti/p/1FT-0009-00AE9?Description=3060&cm_re=3060-_-9SIADFRHYT5762-_-Product
GIGABYTE Eagle GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 ATX Video Card GV-N306TEAGLE-8GD,$546,https://www.newegg.com/gigabyte-geforce-rtx-3060-ti-gv-n306teagle-8gd/p/N82E16814932379?Description=3060&cm_re=3060-_-9SIAU94J2N0500-_-Product
GIGABYTE Vision OC GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 ATX Video Card GV-N3060VISION OC-12GD (rev. 2.0) (LHR),$549,https://www.newegg.com/p/1FT-000A-00482?Description=3060&cm_re=3060-_-9SIAGGGHSH8383-_-Product
